B
1
//卧室 索引=0
map 0 0 0 2300 700 
wall 21 2305 620 2 120
ground 10 0 620 2315 0
house 20 100 416 389 204 296
roomdoor 14 435 548 40 72 6 0 3 169
roaddirectlight 48 550 549 20 71 5 0 0 0
house 20 580 120 926 500 284
door 14 1030 540 120 80 0 10 0 331 //IDB_DOOR1(no key's index is 10)
house 20 1550 120 926 500 284
window 22 1600 520 0 0
door 14 2000 540 120 80 0 10 0 331 //IDB_DOOR1(no key's index is 10)
spider 135 1200 450 0 0 1160 120 2000 700
spider 136 1200 300 0 0

//游戏厅一室 索引=3
map 0 0 0 1017 700
wall 21 570 620 2 120
wall 21 0 500 1 570
ground 10 0 620 580 0
roomdoor 14 155 548 40 72 7 0 2 169
roomdoor 14 455 548 40 72 8 0 4 169
gamemachine 46 15 552 59 70
gamemachine 50 328 552 59 70 
gamemachine 51 220 552 59 70 

//游戏厅二室 索引=4
map 0 0 0 1017 700
wall 21 570 620 2 320
wall 21 0 300 1 570
ground 10 0 620 580 0
roomdoor 14 200 352 40 72 9 0 3 169
ladder 49 200 424 0 0
paper 19 100 580 9 0 //index = 9
coin 47 80 610 0 0
coin 47 65 610 0 0
coin 47 55 610 0 0
coin 47 45 610 0 0

//面具室 索引=5
map 0 0 0 1017 700
wall 21 300 620 2 120
wall 21 0 500 1 300
ground 10 0 620 310 0
mask 52 50 600 24 20
mask 53 200 600 24 20
roomdoor 14 100 548 40 72 11 0 0 169 //to 第一条街道 索引=11

//军火室一层 索引=6
map 0 0 0 1017 700
wall 21 370 620 2 320 //墙（竖着）
wall 21 0 300 1 370 //天花板(横着)
ground 10 0 620 380 0
door 14 320 548 40 72 13 0 0 169 //to 第一街道 索引=13
weaponshelf 55 180 570 100 50 329 //IDB_WEAPONSHELF
weaponshelf 55 70 570 100 50 329 //IDB_WEAPONSHELF
deserteagle 160 210 590 0 0 //ID_DESERT_EAGLE
fiveseven 177 80 590 0 0 //ID_FIVESEVEN
usp 180 125 590 0 0 //ID_USP
door 14 10 548 40 72 14 0 7 169 //to 军火室一层与二层楼梯间 索引=14

//军火室一层与二层楼梯间 索引=7
map 0 0 0 1017 700
wall 21 420 620 2 520 //墙（竖着）
wall 21 0 100 1 420 //天花板(横着)
ground 10 0 620 430 0
paper 19 100 580 10 0 //index = 10
door 14 380 548 40 72 15 0 6 169 //to 军火室一层 索引=15
ladderex 56 50 420 0 200 30 20 1 //向左上楼(不必关心宽度,但每隔宽度必须正确指定)
ground 10 20 420 35 0 //为楼梯最顶上一阶扩展空间
door 14 22 348 40 72 16 0 8 169 //to 军火室二层 索引=16
ladderex 56 80 217 0 200 30 20 2 //向右上楼(不必关心宽度,但每隔宽度必须正确指定)
ground 10 380 217 35 0 //为楼梯最顶上一阶扩展空间
door 14 382 145 40 72 18 0 0 169 //to 第一条街道(楼顶) 索引=18


//军火室二层 索引=8
map 0 0 0 1017 700
wall 21 370 620 2 320 //墙（竖着）
wall 21 0 300 1 370 //天花板(横着)
ground 10 0 620 380 0
door 14 22 548 40 72 17 0 7 169 //to 军火室一层与二层楼梯间 索引=17
window 55 280 500 50 50 330 //IDB_WINDOW2
coin 47 100 610 0 0
coin 47 115 610 0 0
coin 47 135 610 0 0
coin 47 5 610 0 0
coin 47 165 610 0 0
bulletsupply 24 250 616 0  20
spider 135 300 380 0 0 0 100 420 625 
spider 135 350 480 0 0 0 100 420 625 

//各通道映射表
doorindextable 3 0 0 0 20 1 0 3 2 5 4 7 6 9 8 11 10 13 12 15 14 17 16 19 18
E

B
4
map 0 0 0 2500 700 
player 1 0 620 0 0
clientorgonmap 2  0 202 0 0
wall 21 2500 620 2 620
ground 10 0 620 2515 0
E
